猫狗分类批量测试报告
生成时间: 2025-12-23_19-41-28

统计摘要:
  总处理数: 1000
  成功处理: 1000 (100.0%)
  处理失败: 0 (0.0%)
  猫的数量: 55 (5.5%)
  狗的数量: 945 (94.5%)
  平均置信度: 94.1%
  平均处理时间: 0.011秒

详细结果:
文件名                            预测       置信度       
--------------------------------------------------
dog.4001.jpg                   狗        66.4      
dog.4002.jpg                   狗        100.0     
dog.4003.jpg                   狗        100.0     
dog.4004.jpg                   狗        99.7      
dog.4005.jpg                   狗        87.5      
dog.4006.jpg                   狗        67.0      
dog.4007.jpg                   狗        75.9      
dog.4008.jpg                   狗        100.0     
dog.4009.jpg                   狗        99.6      
dog.4010.jpg                   狗        99.7      
dog.4011.jpg                   狗        99.3      
dog.4012.jpg                   狗        97.5      
dog.4013.jpg                   狗        98.5      
dog.4014.jpg                   狗        99.7      
dog.4015.jpg                   狗        88.4      
dog.4016.jpg                   狗        94.6      
dog.4017.jpg                   狗        100.0     
dog.4018.jpg                   狗        99.3      
dog.4019.jpg                   狗        69.9      
dog.4020.jpg                   狗        99.5      
dog.4021.jpg                   狗        100.0     
dog.4022.jpg                   狗        99.7      
dog.4023.jpg                   狗        83.7      
dog.4024.jpg                   狗        58.0      
dog.4025.jpg                   狗        100.0     
dog.4026.jpg                   猫        80.3      
dog.4027.jpg                   狗        100.0     
dog.4028.jpg                   狗        99.5      
dog.4029.jpg                   狗        98.6      
dog.4030.jpg                   狗        77.9      
dog.4031.jpg                   狗        99.1      
dog.4032.jpg                   狗        99.7      
dog.4033.jpg                   狗        99.9      
dog.4034.jpg                   狗        98.4      
dog.4035.jpg                   狗        97.3      
dog.4036.jpg                   狗        100.0     
dog.4037.jpg                   狗        99.5      
dog.4038.jpg                   狗        98.1      
dog.4039.jpg                   狗        97.8      
dog.4040.jpg                   狗        99.9      
dog.4041.jpg                   狗        99.9      
dog.4042.jpg                   狗        100.0     
dog.4043.jpg                   狗        80.2      
dog.4044.jpg                   狗        99.9      
dog.4045.jpg                   狗        99.9      
dog.4046.jpg                   狗        100.0     
dog.4047.jpg                   狗        99.4      
dog.4048.jpg                   狗        99.6      
dog.4049.jpg                   狗        100.0     
dog.4050.jpg                   狗        83.9      
dog.4051.jpg                   狗        100.0     
dog.4052.jpg                   狗        99.6      
dog.4053.jpg                   狗        100.0     
dog.4054.jpg                   狗        96.8      
dog.4055.jpg                   狗        100.0     
dog.4056.jpg                   狗        95.0      
dog.4057.jpg                   狗        99.9      
dog.4058.jpg                   狗        100.0     
dog.4059.jpg                   狗        100.0     
dog.4060.jpg                   狗        86.6      
dog.4061.jpg                   狗        99.8      
dog.4062.jpg                   狗        99.6      
dog.4063.jpg                   狗        99.0      
dog.4064.jpg                   狗        99.9      
dog.4065.jpg                   狗        86.2      
dog.4066.jpg                   狗        99.0      
dog.4067.jpg                   狗        99.3      
dog.4068.jpg                   狗        100.0     
dog.4069.jpg                   猫        95.9      
dog.4070.jpg                   狗        99.1      
dog.4071.jpg                   狗        100.0     
dog.4072.jpg                   狗        99.3      
dog.4073.jpg                   狗        100.0     
dog.4074.jpg                   狗        96.5      
dog.4075.jpg                   狗        99.6      
dog.4076.jpg                   狗        99.4      
dog.4077.jpg                   狗        99.9      
dog.4078.jpg                   狗        97.0      
dog.4079.jpg                   狗        99.3      
dog.4080.jpg                   狗        93.1      
dog.4081.jpg                   狗        99.4      
dog.4082.jpg                   狗        97.8      
dog.4083.jpg                   猫        71.1      
dog.4084.jpg                   狗        92.5      
dog.4085.jpg                   狗        99.8      
dog.4086.jpg                   狗        90.6      
dog.4087.jpg                   狗        99.6      
dog.4088.jpg                   狗        99.2      
dog.4089.jpg                   狗        99.8      
dog.4090.jpg                   狗        97.3      
dog.4091.jpg                   猫        71.0      
dog.4092.jpg                   狗        99.9      
dog.4093.jpg                   狗        87.6      
dog.4094.jpg                   狗        98.2      
dog.4095.jpg                   狗        99.7      
dog.4096.jpg                   狗        99.8      
dog.4097.jpg                   狗        99.8      
dog.4098.jpg                   狗        82.3      
dog.4099.jpg                   狗        99.7      
dog.4100.jpg                   狗        99.8      
